"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20057,"min",8475745,2,"1181-1200;800-821;448-483;591-626;262-328;32-110;908-1013","Charlie","Coyle","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475745,3,"698-713;226-260;381-422;838-879;41-85;543-596;1035-1094","Charlie","Coyle","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475798,1,"0-19;665-695;551-605;357-413;1028-1084;875-938;160-242","Mikael","Granlund","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475798,2,"821-850;0-32;328-365;553-591;103-165;1111-1181;680-773","Mikael","Granlund","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475798,3,"528-543;1125-1145;906-934;0-41;596-648;321-381;147-213;1003-1071;748-819","Mikael","Granlund","c","2016-10-21 00:00:00+00"
2016,20057,"min",8475799,1,"64-67;71-98;938-970;277-328;1084-1138;455-521","Nino","Niederreiter","r","2016-10-21 00:00:00+00"
2016,20057,"min",8475799,2,"773-800;165-215;365-423;483-553;1005-1083","Nino","Niederreiter","r","2016-10-21 00:00:00+00"
2016,20057,"min",8475799,3,"128-147;300-321;819-843;486-528","Nino","Niederreiter","r","2016-10-21 00:00:00+00"
2016,20057,"min",8475800,1,"812-836;328-357;514-551;1028-1084;94-160","Teemu","Pulkkinen","l","2016-10-21 00:00:00+00"
2016,20057,"min",8475800,2,"1083-1104;423-448;110-162;626-680","Teemu","Pulkkinen","l","2016-10-21 00:00:00+00"
2016,20057,"min",8475800,3,"835-838;128-147;300-321;480-525","Teemu","Pulkkinen","l","2016-10-21 00:00:00+00"
2016,20057,"tor",8477939,1,"966-970;813-836;662-695;73-108;1095-1137;277-328;462-515","William","Nylander","c","2016-10-21 00:00:00+00"
2016,20057,"tor",8477939,2,"1017-1025;596-609;1093-1111;1026-1052;763-804;365-408;878-928;228-302","William","Nylander","c","2016-10-21 00:00:00+00"
2016,20057,"tor",8477939,3,"1128-1145;1164-1200;713-757;75-122;438-487;249-300;843-906;961-1054","William","Nylander","c","2016-10-21 00:00:00+00"
2016,20072,"chi",8466148,1,"1157-1186;664-705;364-407;469-517;103-160;881-940;1006-1065","Marian","Hossa","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8466148,2,"563-568;1077-1096;470-505;1002-1054;26-80;880-936;726-792;338-410","Marian","Hossa","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8466148,3,"1050-1052;962-970;904-927;262-286;1112-1154;656-705;102-155;492-547;1052-1112","Marian","Hossa","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8466148,4,"198-227;122-155","Marian","Hossa","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8469547,1,"940-942;160-180;734-770;321-364","Jordin","Tootoo","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8469547,2,"465-470;792-825;160-198;568-609","Jordin","Tootoo","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8469547,3,"547-573;155-191;286-333","Jordin","Tootoo","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8473573,1,"1186-1200;1129-1157;0-42;407-458;579-634;1006-1065;761-825;197-275;216-216","Artem","Anisimov","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8473573,2,"1030-1054;492-534;609-655;1152-1200;880-936;86-160;261-338","Artem","Anisimov","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8473573,3,"896-904;927-962;1014-1052;573-614;213-262;696-746;57-109;333-387;1052-1052","Artem","Anisimov","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8473573,4,"122-155;227-260","Artem","Anisimov","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8473604,1,"458-469;180-197;705-734;1091-1129;275-321;825-881;42-103;517-579;942-1006","Jonathan","Toews","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8473604,2,"470-492;0-26;534-568;825-880;1096-1152;655-713;198-261;936-1002;338-410","Jonathan","Toews","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8473604,3,"191-213;904-927;262-286;746-780;858-893;614-656;970-1014;1154-1200;0-57;1052-1112;387-485","Jonathan","Toews","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8473604,4,"155-192;260-300;0-113","Jonathan","Toews","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8474141,1,"1186-1200;1129-1157;0-38;407-458;770-825;942-1006;197-275;579-664","Patrick","Kane","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8474141,2,"1152-1200;609-662;825-880;80-160;936-1030;261-394","Patrick","Kane","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8474141,3,"893-904;1189-1200;927-962;1014-1052;63-102;1071-1112;213-262;573-623;705-780;333-432","Patrick","Kane","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8474141,4,"192-227;260-300;0-122","Patrick","Kane","r","2016-10-22 23:00:00+00"
2016,20072,"chi",8475209,1,"458-469;180-197;705-734;1091-1129;275-321;825-881;1006-1065;517-579;38-103","Richard","Panik","l","2016-10-22 23:00:00+00"
2016,20072,"chi",8475209,2,"0-26;1030-1063;662-713;880-936;1096-1152;198-261;394-470","Richard","Panik","l","2016-10-22 23:00:00+00"
2016,20072,"chi",8475209,3,"191-213;904-927;623-656;1154-1189;970-1014;432-492;1052-1112;0-63;1112-1112","Richard","Panik","l","2016-10-22 23:00:00+00"
2016,20072,"chi",8475209,4,"155-198","Richard","Panik","l","2016-10-22 23:00:00+00"
2016,20072,"chi",8475323,1,"1065-1091;1157-1186;634-664;103-137;364-407;469-517;881-942","Marcus","Kruger","c","2016-10-22 23:00:00+00"
2016,20072,"chi",8475323,2,"1054-1077;410-451;1152-1200;26-86;713-792","Marcus","Kruger","c","2016-10-22 23:00:00+00"
