"season","game_id","team","period","strength_sit","timeranges"
2016,20750,"dal",3,"ev5","0-1200"
2016,20761,"stl",1,"ev5","0-1099"
2016,20761,"stl",1,"sh","1099-1200"
2016,20761,"stl",2,"ev5","19-63;183-589;662-716;836-1200"
2016,20761,"stl",2,"pp","589-662;716-836"
2016,20761,"stl",2,"sh","0-19;63-183"
2016,20761,"stl",3,"ev5","0-447;567-1160"
2016,20761,"stl",3,"sh","447-567"
2016,20774,"bos",1,"ev5","0-205;325-538;660-908;1028-1200"
2016,20774,"bos",1,"pp","540-660"
2016,20774,"bos",1,"sh","908-1028"
2016,20774,"bos",2,"ev5","0-301;421-573;617-860;953-1200"
2016,20774,"bos",2,"pp","301-421;860-953"
2016,20774,"bos",2,"sh","573-617"
2016,20774,"bos",3,"ev5","0-139;259-1001;1026-1143"
2016,20774,"bos",3,"pp","139-259;1001-1026"
2016,20788,"nyi",1,"ev5","0-1200"
2016,20788,"nyi",2,"ev5","0-491;611-943;1063-1200"
2016,20788,"nyi",2,"pp","491-611"
2016,20788,"nyi",2,"sh","943-1063"
2016,20788,"nyi",3,"ev5","0-1096;1111-1200"
2016,20794,"dal",1,"ev5","0-1081"
2016,20794,"dal",1,"pp","1082-1200"
2016,20794,"dal",2,"ev5","122-438;558-747;867-1200"
2016,20794,"dal",2,"pp","0-122"
2016,20794,"dal",2,"sh","438-558;747-867"
2016,20794,"dal",3,"ev5","0-238;240-293;537-871;991-1011"
2016,20794,"dal",3,"pp","238-240;871-991"
2016,20794,"dal",3,"sh","293-537"
